NAME : gdb8
VERTICES : 27
DEPOT : 1
REQUIRED EDGES : 46
NON-REQUIRED EDGES : 0
VEHICLES : 10
CAPACITY : 27
TOTAL COST OF REQUIRED EDGES : 210
NODES       COST         DEMAND
1   3   7        8
1   15   8        5
1   17   5        8
1   19   1        7
1   24   6        1
1   27   7        4
2   1   3        2
2   12   1        9
3   4   7        4
3   6   4        3
3   8   6        8
4   5   2        9
4   6   7        9
4   10   1        4
5   6   2        9
5   9   3        3
6   7   3        1
6   8   6        4
6   9   6        9
6   10   2        8
7   11   6        7
8   9   6        5
10   11   5        5
12   13   4        2
13   14   4        1
13   15   4        7
14   16   9        3
14   18   2        9
14   20   5        5
14   21   5        5
15   17   3        7
15   20   8        2
16   17   9        1
18   21   2        9
18   25   3        7
20   21   1        8
21   22   8        2
21   23   7        6
21   25   8        4
22   23   1        6
22   25   3        4
23   24   5        9
23   26   3        2
24   27   5        9
25   26   4        1
26   27   3        8
