NAME : gdb15
VERTICES : 7
DEPOT : 1
REQUIRED EDGES : 21
NON-REQUIRED EDGES : 0
VEHICLES : 4
CAPACITY : 37
TOTAL COST OF REQUIRED EDGES : 56
NODES       COST         DEMAND
1   2   1        2
1   3   1        3
1   4   1        4
1   5   1        5
1   6   1        6
1   7   1        7
2   3   2        3
2   4   2        4
2   5   2        5
2   6   2        6
2   7   2        7
3   4   3        4
3   5   3        5
3   6   3        6
3   7   3        7
4   5   4        5
4   6   4        6
4   7   4        7
5   6   5        6
5   7   5        7
6   7   6        7
