NAME : gdb20
VERTICES : 11
DEPOT : 1
REQUIRED EDGES : 22
NON-REQUIRED EDGES : 0
VEHICLES : 4
CAPACITY : 27
TOTAL COST OF REQUIRED EDGES : 105
NODES       COST         DEMAND
1   3   2        8
1   4   3        1
1   5   4        1
1   7   1        7
1   8   9        8
1   9   1        1
2   5   6        5
2   9   2        4
3   7   7        1
3   10   7        4
4   7   4        1
4   8   9        1
4   9   6        9
5   6   7        9
5   7   2        3
5   8   8        7
5   11   7        6
7   8   3        5
7   10   4        7
7   11   4        9
8   9   7        3
8   10   2        7
