NAME : gdb11
VERTICES : 22
DEPOT : 1
REQUIRED EDGES : 45
NON-REQUIRED EDGES : 0
VEHICLES : 5
CAPACITY : 50
TOTAL COST OF REQUIRED EDGES : 356
NODES       COST         DEMAND
1   8   9        4
1   9   4        6
1   10   13        1
1   11   12        3
2   1   11        9
2   3   15        1
2   4   18        5
2   5   8        4
2   22   2        6
3   4   8        1
3   8   18        6
3   9   6        5
3   21   2        1
4   1   7        7
4   6   10        5
4   11   17        4
5   1   9        9
5   6   15        4
5   14   2        3
6   11   3        5
6   15   2        2
7   2   6        8
7   4   11        5
7   5   5        3
7   13   2        1
8   9   14        9
8   12   5        2
8   20   2        8
9   10   19        3
9   19   2        7
10   12   2        7
10   18   2        8
11   12   7        6
11   16   2        2
12   17   2        9
13   14   5        7
13   22   6        2
14   15   15        9
15   16   3        3
16   17   7        6
17   18   2        8
18   19   19        3
19   20   6        2
20   21   6        8
21   22   15        7
