NAME : gdb14
VERTICES : 7
DEPOT : 1
REQUIRED EDGES : 21
NON-REQUIRED EDGES : 0
VEHICLES : 5
CAPACITY : 21
TOTAL COST OF REQUIRED EDGES : 96
NODES       COST         DEMAND
1   2   1        1
1   3   2        3
1   4   7        5
1   5   2        4
1   6   5        8
1   7   4        3
2   3   6        5
2   4   4        8
2   5   1        1
2   6   7        5
2   7   7        6
3   4   8        2
3   5   1        5
3   6   5        2
3   7   7        7
4   5   4        3
4   6   4        2
4   7   6        4
5   6   7        5
5   7   5        3
6   7   3        7
