NAME : gdb23
VERTICES : 11
DEPOT : 1
REQUIRED EDGES : 55
NON-REQUIRED EDGES : 0
VEHICLES : 10
CAPACITY : 27
TOTAL COST OF REQUIRED EDGES : 223
NODES       COST         DEMAND
1   2   1        7
1   3   7        1
1   4   1        4
1   5   3        9
1   6   3        7
1   7   2        8
1   8   1        4
1   9   2        1
1   10   2        5
1   11   1        8
2   3   5        7
2   4   1        6
2   5   8        6
2   6   1        5
2   7   3        4
2   8   7        9
2   9   8        9
2   10   7        7
2   11   2        8
3   4   7        6
3   5   1        2
3   6   4        1
3   7   1        4
3   8   5        5
3   9   4        7
3   10   2        6
3   11   2        1
4   5   2        1
4   6   1        1
4   7   5        6
4   8   7        5
4   9   6        1
4   10   2        8
4   11   4        9
5   6   8        4
5   7   5        1
5   8   4        3
5   9   8        5
5   10   6        3
5   11   7        1
6   7   5        7
6   8   3        8
6   9   6        3
6   10   6        2
6   11   4        2
7   8   2        2
7   9   1        8
7   10   6        1
7   11   4        3
8   9   4        8
8   10   5        8
8   11   6        4
9   10   4        5
9   11   7        6
10   11   4        4
