NAME : gdb16
VERTICES : 8
DEPOT : 1
REQUIRED EDGES : 28
NON-REQUIRED EDGES : 0
VEHICLES : 5
CAPACITY : 24
TOTAL COST OF REQUIRED EDGES : 119
NODES       COST         DEMAND
1   2   4        8
1   3   1        1
1   4   3        3
1   5   6        2
1   6   6        7
1   7   2        2
1   8   1        3
2   3   3        8
2   4   6        1
2   5   4        1
2   6   2        1
2   7   6        2
2   8   4        5
3   4   7        7
3   5   3        3
3   6   4        6
3   7   8        8
3   8   2        1
4   5   6        1
4   6   2        2
4   7   4        1
4   8   1        4
5   6   6        7
5   7   2        3
5   8   8        8
6   7   8        6
6   8   3        8
7   8   7        7
